Title,Rating,Price,Series,color,power_backup,processor_brand,processor,ssd,ram,ram_type,hardsk_capacity,touch_screen,screen_size
"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)",4.5,"₹35,990",15IML05,IdeaPad 3,Processing & Multitasking,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 Inch)
"Lenovo Ideapad Slim 5i Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 15 ITL 05 Thin and Light Laptop  (15.6 Inch, Graphite Grey, 1.66 KG, With MS Office)",4.3,"₹62,990",Ideapad Slim 5i,Graphite Grey,Upto 11 Hours,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,39.62 cm (15.6 Inch)
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 Kg, With MS Office)",4.3,"₹43,490",IdeaPad 3,Arctic Grey,Upto 6 Hours,Intel,Core i3,Yes,512 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.7 kg, With MS Office)",4.3,"₹36,990",IdeaPad 3,Platinum Grey,Upto 9 hours,Intel,Core i3,No,8 GB,DDR4,1 TB,No,39.62 cm (15.6 inch)
"HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dv0543TU Thin and Light Laptop  (14 Inch, Natural Silver, 1.41 Kg, With MS Office)",4.8,"₹59,990",14-dv0543TU,Pavilion,"Entertainment, Processing & Multitasking",Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"Lenovo APU Dual Core A9 A99425 - (4 GB/1 TB HDD/DOS) E41-45 Notebook  (14 inch, Black, 2.2 Kg)",3.7,"₹21,896",Black,Notebook,45W AC Adapter,AMD,APU Dual Core A9,4 GB,DDR4,1 TB,A99425,No,35.56 cm (14 inch)
"acer Dual Core A3020e - (4 GB/256 GB SSD/Windows 10 Home) EX215-22 Laptop  (15.6 inch, Black, 1.9 kg)",,"₹24,990",Extensa 15,Black,Upto 9 hours,AMD,Dual Core,256 GB,4 GB,DDR4,A3020e,No,39.62 cm (15.6 inch)
"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",4.7,"₹38,990",15s-GY0501AU,Natural Silver,3 cell,AMD,Ryzen 3 Dual Core,256 GB,8 GB,DDR4,3250U,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad Slim 3 (2021) Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14 ALC 6 Thin and Light Laptop  (14 Inch, Arctic Grey, 1.41 KG, With MS Office)",4.5,"₹52,990",IdeaPad Slim 3 (2021),Arctic Grey,Upto 9.5 Hours,AMD,Ryzen 5 Hexa Core,512 GB,8 GB,DDR4,5500U,No,35.56 cm (14 Inch)
"Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 GB, NA SSD/Windows 10 Home) 15IML05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.7 kg, With MS Office)",4.3,"₹33,990",IdeaPad 3,Platinum Grey,Upto 11.5 hours,Intel,Core i3,Yes,"256 GB, NA",4 GB,DDR4,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.6 kg, With MS Office)",4.4,"₹39,990",IdeaPad 3,Arctic Grey,Upto 7.5 hours,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15ITL6/ 15ITL6 Ub Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",4.2,"₹49,990",Ideapad Slim 3i (2021),Arctic Grey,Upto 7.5 hours,Intel,Core i5,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"HP HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0055TU Thin and Light Laptop  (14 inches, Tranquil Pink, 1.41 kg, With MS Office)",4.5,"₹66,490",HP Pavilion,Tranquil Pink,3 cell,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,35.56 cm (14 inches)
"Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 3 15ITL6 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 KG, With MS Office)",4.2,"₹53,990",Ideapad Slim 3i (2021),Arctic Grey,Upto 7.5 Hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,39.62 cm (15.6 Inch)
"Lenovo Ideapad Slim3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14 ITL 6 Thin and Light Laptop  (14 Inch, Arctic Grey, 1.41 KG, With MS Office)",4.3,"₹41,990",Ideapad Slim3,Arctic Grey,Up to 7.5 Hours,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"Lenovo IdeaPad Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14 IML 05 Thin and Light Laptop  (14 Inch, Platinum Grey, 1.5 KG, With MS Office)",4.2,"₹35,990",IdeaPad,Platinum Grey,Upto 11.5 Hours,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14-dv0084TX Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",4.3,"₹70,990",Pavilion,Natural Silver,3 Cell Lithium-ion,GDDR5,2 GB,Core i5,11th Gen,Yes,512 GB,No,35.56 cm (14 inch)
"Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) LEGION5 15ACH6 Gaming Laptop  (15.6 inch, Phantom Blue, 2.4 kg, With MS Office)",,"₹1,03,990",Legion 5,Phantom Blue,Upto 9.29 hours,GDDR6,4 GB,Ryzen 7 Octa Core,Yes,512 GB,16 GB,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.7 kg, With MS Office)",4.2,"₹36,990",IdeaPad 3,Platinum Grey,Upto 9 hours,Intel,Core i3,No,8 GB,DDR4,1 TB,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad Gaming Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) IdeaPad Gaming 3 15IMH05 Gaming Laptop  (15.6 Inch, Onyx Black, 2.2 KG)",4.5,"₹54,990",IdeaPad Gaming,Onyx Black,Upto 8 Hours,GDDR6,4 GB,Core i5,10th Gen,No,8 GB,No,39.62 cm (15.6 Inch)
"DELL Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10) INSPIRON 3501 Thin and Light Laptop  (15.6 Inch, Accent Black, 1.83 Kg, With MS Office)",3.6,"₹43,990",INSPIRON 3501,Accent Black,Upto 7 hours,Intel,Core i3,No,8 GB,DDR4,1 TB,No,39.62 cm (15.6 Inch)
"Lenovo IdeaPad Core i3 11th Gen - (8 GB/256 GB SSD/DOS) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 Kg)",,"₹36,990",IdeaPad,Arctic Grey,Upto 6 Hours,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"ASUS Vivobook 15 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X509FA-BR301T Laptop  (15.6 inch, Transparent Silver, 1.9 kg)",4.4,"₹33,990",Vivobook 15,Vivobook 15,Everyday Use,Intel,Core i3,No,4 GB,DDR4,1 TB,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and Light Laptop  (15.6 inch, Graphite Grey, 1.66 kg, With MS Office)",,"₹55,990",IdeaPad,Graphite Grey,Upto 14 hours,AMD,Ryzen 5 Hexa Core,512 GB,8 GB,DDR4,5500U,No,39.62 cm (15.6 inch)
"HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1066TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.76 KG, With MS Office)",4.2,"₹38,990",15s,Jet Black,Upto 12 Hours,Intel,Core i3,No,8 GB,DDR4,1 TB,No,39.62 cm (15.6 Inch)
"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15s-FQ2075TU Thin and Light Laptop  (15.6 inch, Jet Black, 1.69 Kg, With MS Office)",4.3,"₹41,490",Jet Black,Thin and Light Laptop,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"Lenovo Legion 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15IMH05 Gaming Laptop  (15.6 Inch, Phantom Black, 2.3 KG)",4.4,"₹65,990",Legion 5,Phantom Black,Up to 6 Hours,GDDR6,4 GB,Core i5,10th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15ARH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",5,"₹60,990",IdeaPad Gaming,Onyx Black,Upto 6.7 hours,GDDR6,4 GB,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,No,39.62 cm (15.6 inch)
"Lenovo Legion 5 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15IMH05 Gaming Laptop  (15.6 Inch, Phantom Black, 2.3 KG)",4.6,"₹81,990",Legion 5,Phantom Black,Up to 6 Hours,GDDR6,4 GB,Core i7,10th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"Lenovo Core i3 10th Gen - (4 GB/1 TB HDD/DOS) V15 IIL Laptop  (15 inch, Iron Grey, 1.85 kg)",,"₹32,990",V15 IIL,Iron Grey,Upto 5.5 hours,Intel,Core i3,No,4 GB,DDR4,1 TB,No,38.1 cm (15 inch)
"Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 10 Home) 14 ALC 05 Thin and Light Laptop  (14 Inch, Graphite Grey, 1.39 KG, With MS Office)",4.6,"₹61,990",Ideapad Slim 5,Graphite Grey,Upto 8.3 Hours,AMD,Ryzen 7 Octa Core,512 GB,8 GB,DDR4,5700U,No,35.56 cm (14 Inch)
"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) IdeaPad Gaming 3 15ARH05 Gaming Laptop  (15.6 Inch, Onyx Black, 2.2 KG)",4.3,"₹54,990",Ideapad Gaming 3,Onyx Black,Upto 6.7 Hours,GDDR6,4 GB,Ryzen 5 Hexa Core,No,8 GB,DDR4,No,39.62 cm (15.6 Inch)
"Lenovo Core i3 11th Gen - (4 GB/1 TB HDD/DOS) V15 ITL G2 Thin and Light Laptop  (15 inch, Black, 1.7 kg)",3.6,"₹33,990",V15 ITL Gen 2,Black,Upto 5.5 hours,Intel,Core i3,No,4 GB,DDR4,1 TB,No,38.1 cm (15 inch)
"Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)",4.6,"₹50,990",15IML05,IdeaPad 3,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,39.62 cm (15.6 Inch)
"ASUS VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) X412FA-EK296T Thin and Light Laptop  (14 inch, Orange, Black, 1.5 kg)",4.6,"₹49,990",VivoBook 14,"Orange, Black",45 W AC Adapter,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"acer Swift 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-57G-59RE Thin and Light Laptop  (14 inch, Steel Grey, 1.19 kg)",4.4,"₹56,990",Swift 3,Steel Grey,Upto 11 hours,GDDR5,2 GB,Core i5,10th Gen,Yes,512 GB,No,35.56 cm (14 inch)
"Lenovo IdeaPad Gaming Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) IdeaPad Gaming 3 15IMH05 Gaming Laptop  (15.6 Inch, Onyx Black, 2.2 KG)",4.6,"₹73,990",IdeaPad Gaming,Onyx Black,Upto 8 Hours,GDDR6,4 GB,Core i7,10th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-dy3001TU Thin and Light Laptop  (15.6 inch, Jet Black, 1.77 Kg, With MS Office)",4.1,"₹40,000",15s,Jet Black,Upto 12 hours,Intel,Core i3,No,8 GB,DDR4,1 TB,No,39.62 cm (15.6 inch)
"HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 GB SSD/Windows 10 Home) 13-BE0030AU Thin and Light Laptop  (13.3 inch, Natural Silver, 0.97 kg, With MS Office)",4.8,"₹69,990",13-BE0030AU,Pavilion Aero,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,512 GB,16 GB,DDR4,5600U,No,33.78 cm (13.3 inch)
"Lenovo IdeaPad Gaming 3 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15IMH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",4.2,"₹59,990",IdeaPad Gaming 3,Onyx Black,Upto 8 hours,GDDR6,4 GB,Core i5,10th Gen,Yes,256 GB,No,39.62 cm (15.6 inch)
"Lenovo Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) E15 Laptop  (15.6 Inch, Black, 1.7 kg, With MS Office)",,"₹78,990",ThinkPad E15,Black,Upto 10.8 hours,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,39.62 cm (15.6 Inch)
"HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3038TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.77 kg, With MS Office)",4.1,"₹42,490",15s,Natural Silver,Upto 12 hours,Intel,Core i3,No,8 GB,DDR4,1 TB,No,39.62 cm (15.6 inch)
"HP Pavilion Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14-EC0007AX Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",5,"₹80,990",14-EC0007AX,Pavilion,Processing & Multitasking,GDDR5,2 GB,Ryzen 7 Octa Core,Yes,512 GB,16 GB,No,35.56 cm (14 inch)
"Lenovo Athlon Dual Core 3150U - (4 GB/1 TB HDD/DOS) V15-ADA Laptop  (15.6 inch, Iron Grey, 1.85 kg)",,"₹24,990",V15-ADA,Iron Grey,Upto 5 hours,AMD,Athlon Dual Core,4 GB,DDR4,1 TB,3150U,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)",,"₹54,990",15IML05,IdeaPad 3,Processing & Multitasking,GDDR5,2 GB,Core i5,10th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15 ITL 6 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 KG, With MS Office)",3.8,"₹58,990",IdeaPad,Arctic Grey,Upto 7.5 Hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,39.62 cm (15.6 Inch)
"Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05U2a Thin and Light Laptop  (14 inch, Graphite Grey, 1.39 kg, With MS Office)",4.5,"₹59,990",Ideapad Slim 5i,Graphite Grey,Upto 11 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"Lenovo IdeaPad Slim 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Light Laptop  (14 inch, Arctic Grey, 1.41 kg, With MS Office)",4.4,"₹45,990",IdeaPad Slim 3,Arctic Grey,Upto 7.5 hours,Intel,Core i3,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"Lenovo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) E15 Laptop  (15.6 Inch, Black, 1.7 kg, With MS Office)",,"₹74,990",ThinkPad E15,Black,Upto 10.8 hours,GDDR5,2 GB,Core i5,11th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"Lenovo Ideapad Slim 3i Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15IIL05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.85 kg, With MS Office)",4.2,"₹50,990",Ideapad Slim 3i,Platinum Grey,Upto 5 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/512 GB SSD/Mac OS Catalina) MWP42HN/A  (13 inch, Space Grey, 1.4 kg)",4.7,"₹1,58,990",MacBook Pro with Touch Bar,Space Grey,Upto 10 hours,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,No,33.02 cm (13 inch)
"Lenovo IdeaPad 3 Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15ADA05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.85 kg, With MS Office)",,"₹36,990",IdeaPad 3,Platinum Grey,Upto 13 hours,AMD,Ryzen 3 Dual Core,256 GB,8 GB,DDR4,3250U,No,39.62 cm (15.6 inch)
